 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2011
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";105,79;88,46;119,99;101,35;90,78;107,32;103,51;102,72;106,95;102,98
"12 Acre";109,63;72,29;75,19;93,78;50,85;111,03;96,38;105,29;96,95;90,16
"13 Amazonas";117,27;64,13;83,28;90,33;61,39;87,15;89,88;94,67;91,25;86,60
"14 Roraima";115,06;72,92;93,86;93,31;74,13;95,52;93,11;97,98;95,91;92,42
"15 Pará";120,12;71,51;61,60;96,71;46,31;101,54;95,98;109,25;96,13;88,79
"16 Amapá";111,74;68,11;74,80;88,48;61,79;84,58;80,74;93,00;89,94;83,69
"17 Tocantins";102,60;86,33;118,40;98,55;94,29;99,62;93,40;91,41;100,63;98,36
"21 Maranhão";122,77;77,84;70,50;97,04;50,76;102,93;101,53;112,84;100,33;92,95
"22 Piauí";100,07;84,91;108,34;96,92;78,36;98,47;92,71;97,02;99,29;95,12
"23 Ceará";105,98;88,44;98,96;98,25;81,64;100,00;0,11;110,92;100,11;87,16
"24 Rio Grande do Norte";119,20;82,55;90,37;97,52;80,39;96,88;0,08;99,47;97,04;84,83
"25 Paraíba";113,41;84,38;82,65;98,29;82,86;101,97;0,41;102,34;101,80;85,35
"26 Pernambuco";110,45;89,76;108,14;103,01;92,70;109,60;0,38;113,67;107,08;92,75
"27 Alagoas";99,87;69,84;88,03;89,84;67,98;90,61;0,27;89,95;90,34;76,30
"28 Sergipe";98,60;95,08;102,92;102,07;94,00;103,40;0,11;98,03;103,31;88,61
"29 Bahia";105,24;77,90;93,47;95,95;66,46;97,32;92,26;100,29;98,66;91,95
"31 Minas Gerais";102,88;96,22;106,04;98,03;101,25;103,22;99,51;100,80;104,20;101,35
"32 Espírito Santo";103,27;97,07;122,22;103,95;106,20;108,26;0,66;103,76;105,94;94,59
"33 Rio de Janeiro";114,04;85,42;106,89;94,81;69,43;112,15;0,33;107,16;97,45;87,52
"35 São Paulo";103,72;93,95;122,05;99,28;86,63;100,30;20,45;100,34;98,65;91,71
"41 Paraná";106,53;93,21;120,45;100,84;94,19;102,50;77,49;98,59;103,59;99,71
"42 Santa Catarina";106,70;96,72;131,03;101,22;102,77;101,18;28,92;99,79;102,33;96,74
"43 Rio Grande do Sul";101,20;84,06;117,08;93,63;92,79;95,07;34,84;93,87;94,66;89,69
"50 Mato Grosso do Sul";107,48;93,07;113,31;99,98;89,78;95,54;98,91;96,29;103,34;99,74
"51 Mato Grosso";105,01;88,31;107,06;99,06;74,48;103,22;95,93;98,48;99,22;96,75
"52 Goiás";120,18;92,49;123,55;100,39;99,83;107,11;107,96;115,54;104,68;107,97
"53 Distrito Federal";98,39;78,35;108,78;85,47;74,72;86,48;3,86;89,52;84,82;78,93
"Total";107,94;87,06;105,66;97,71;81,65;101,33;48,95;102,39;99,61;92,48
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

