 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Período:2012
"Unidade da Federação";"072 BCG";"061 Rotavírus Humano";"053 Meningococo C";"073 Hepatite B";"080 Penta";"012 Pneumocócica";"074 Poliomielite";"006 Febre Amarela";"021 Tríplice Viral  D1";"075 DTP";"Total"
"11 Rondônia";106,12;89,45;103,11;102,76;24,78;97,54;105,68;103,02;105,40;103,97;94,18
"12 Acre";105,00;73,76;83,11;90,68;16,38;69,66;96,07;94,45;90,28;87,57;80,70
"13 Amazonas";124,16;67,93;87,70;93,98;24,08;75,35;91,93;93,64;103,39;93,26;85,54
"14 Roraima";118,08;73,71;84,65;84,34;28,56;78,57;88,78;83,87;87,83;81,44;80,98
"15 Pará";113,62;74,00;85,21;93,35;14,79;72,39;97,78;95,00;102,20;89,41;83,77
"16 Amapá";105,80;72,56;86,79;87,77;15,78;75,59;92,67;84,54;91,55;87,16;80,02
"17 Tocantins";98,29;83,12;96,82;93,49;36,25;92,97;92,75;93,88;91,60;89,38;86,86
"21 Maranhão";114,07;79,20;89,16;97,44;23,82;76,27;97,54;100,62;98,21;86,71;86,31
"22 Piauí";96,75;86,36;96,94;93,04;22,76;91,87;93,91;97,29;98,33;92,92;87,02
"23 Ceará";103,02;88,66;96,34;95,67;27,48;89,96;97,79;0,09;97,61;93,83;79,05
"24 Rio Grande do Norte";112,51;83,41;95,25;97,04;16,78;88,47;93,98;0,11;98,69;93,72;78,00
"25 Paraíba";108,66;79,63;86,87;96,31;29,20;83,48;92,08;0,47;92,72;87,90;75,73
"26 Pernambuco";106,89;90,53;100,79;103,68;24,89;95,20;100,08;0,32;104,59;99,82;82,68
"27 Alagoas";107,00;75,58;92,87;92,56;29,00;82,50;90,22;0,29;93,18;87,12;75,03
"28 Sergipe";92,28;89,67;98,07;96,56;24,46;94,97;96,85;0,06;97,34;97,28;78,75
"29 Bahia";99,27;77,69;92,41;92,25;6,05;83,99;93,26;91,40;97,88;93,58;82,78
"31 Minas Gerais";103,34;93,79;100,72;100,70;27,81;98,66;98,61;97,85;104,88;97,71;92,41
"32 Espírito Santo";103,12;94,35;100,98;101,42;32,91;100,49;104,93;0,80;105,07;101,83;84,59
"33 Rio de Janeiro";107,57;82,66;94,60;92,62;31,08;80,27;96,87;0,39;97,18;91,34;77,46
"35 São Paulo";104,01;91,56;98,72;97,44;23,96;89,55;96,44;20,45;99,54;94,72;81,64
"41 Paraná";103,92;91,65;99,86;99,07;22,07;94,94;96,78;76,89;99,94;100,23;88,53
"42 Santa Catarina";104,28;96,43;104,25;99,42;33,14;100,71;99,97;29,60;100,35;99,10;86,72
"43 Rio Grande do Sul";101,24;83,97;94,39;92,02;35,19;89,57;89,40;49,17;91,61;85,59;81,22
"50 Mato Grosso do Sul";105,36;91,36;100,53;99,51;30,29;96,14;102,28;98,32;100,76;99,73;92,43
"51 Mato Grosso";107,44;90,05;98,56;98,60;22,58;88,58;99,50;97,67;99,32;95,66;89,79
"52 Goiás";112,78;90,40;101,40;102,78;40,88;95,85;101,00;102,55;107,68;89,28;94,46
"53 Distrito Federal";106,51;85,89;92,91;92,46;31,51;81,75;93,65;3,09;92,85;92,08;77,27
"Total";105,69;86,37;96,18;96,67;24,89;88,39;96,55;49,31;99,50;93,81;83,73
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

