 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Ano
Período:2010-2019
"Imuno";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";106,71;107,94;105,69;107,42;107,28;105,08;95,55;97,12;97,72;52,95;98,29
"099 Hepatite B  em crianças até 30 dias";...;...;...;-;88,54;90,93;81,75;85,20;86,73;48,33;68,79
"061 Rotavírus Humano";83,04;87,06;86,37;93,52;93,44;95,35;88,98;84,65;89,76;52,47;85,44
"053 Meningococo C";26,88;105,66;96,18;99,70;96,36;98,19;91,68;87,04;87,50;53,66;85,32
"073 Hepatite B";96,08;97,71;96,67;100,56;96,42;97,74;105,19;86,29;92,91;55,93;92,53
"080 Penta";...;...;24,89;95,89;94,85;96,30;89,27;83,78;87,10;49,73;77,80
"012 Pneumocócica";24,02;81,65;88,39;93,57;93,45;94,23;95,00;91,56;93,43;54,43;81,04
"074 Poliomielite";99,35;101,33;96,55;100,71;96,76;98,29;84,43;84,27;88,17;51,54;90,07
"100 Poliomielite 4 anos";...;...;...;...;...;...;...;0,62;0,47;0,19;0,43
"006 Febre Amarela";49,25;48,95;49,31;51,50;46,86;46,31;44,59;46,46;58,40;39,91;48,14
"096 Hepatite A";...;...;...;-;60,13;97,07;71,58;83,05;82,16;52,09;63,73
"091 Pneumocócica(1º ref)";...;...;...;93,11;87,95;88,35;84,10;79,66;80,02;50,50;80,51
"092 Meningococo C (1º ref)";...;...;...;92,35;88,55;87,85;93,86;82,13;79,72;55,16;82,82
"093 Poliomielite(1º ref)";...;...;...;92,92;86,31;84,52;74,36;78,06;71,90;45,89;76,27
"021 Tríplice Viral  D1";99,93;102,39;99,50;107,46;112,80;96,07;95,41;90,85;91,89;57,19;95,31
"098 Tríplice Viral  D2";...;...;...;68,87;92,88;79,94;76,71;76,45;76,49;48,37;74,23
"097 Tetra Viral(SRC+VZ)";...;...;...;34,19;90,19;77,37;79,04;36,86;32,46;22,46;53,27
"075 DTP";98,01;99,61;93,81;97,85;95,48;96,90;89,53;84,02;87,31;49,86;89,19
"102 DTP REF (4 e 6 anos)";...;...;...;...;2,41;...;2,73;2,81;1,93;1,00;3,31
"095 Tríplice Bacteriana(DTP)(1º ref)";...;...;...;90,96;86,36;85,78;64,28;74,29;67,49;38,70;72,52
"094 Dupla adulto e tríplice acelular gestante";...;...;...;50,73;43,50;45,57;31,53;34,56;47,02;30,73;40,48
"003 dTpa gestante";...;...;...;2,80;9,34;44,97;33,81;42,36;63,06;41,97;33,97
"Total";76,98;92,48;83,73;73,99;76,76;85,61;72,16;76,70;79,67;49,46;74,99
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

