 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Imuno e Ano
Período:2010-2019
"Imuno";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";3070853;3108763;3044007;3129807;3116296;3049524;2843993;2890591;2789273;1547820;28590927
"099 Hepatite B  em crianças até 30 dias";-;-;-;-;2571735;2638871;2433100;2535899;2475488;1412844;14067937
"061 Rotavírus Humano";2391533;2507291;2487415;2724813;2714246;2767095;2648372;2519664;2561930;1533955;24856314
"053 Meningococo C";639104;3043101;2769917;2904968;2798885;2849450;2728699;2590757;2497445;1568800;24391126
"073 Hepatite B";2767036;2814242;2784191;2929906;2800797;2836595;3130964;2568458;2651880;1635183;26919252
"080 Penta";-;-;716708;2793851;2755037;2794548;2657003;2493687;2486063;1453810;18150707
"012 Pneumocócica";691929;2351480;2545602;2726374;2714310;2734464;2827520;2725289;2666835;1591326;23575129
"074 Poliomielite";2861066;2918479;2780576;2934278;2810642;2852556;2513077;2508194;2516533;1506818;26202219
"100 Poliomielite 4 anos";-;-;-;-;-;-;-;6624;5371;1854;13849
"006 Febre Amarela";1376029;1409855;1420288;1499370;1356343;1324453;1286769;1347678;1648260;1144755;13813800
"096 Hepatite A";-;-;-;-;1746533;2816967;2130512;2471902;2345053;1522917;13033884
"091 Pneumocócica(1º ref)";-;-;-;2713019;2551427;2563692;2502625;2370918;2283717;1476340;16461738
"092 Meningococo C (1º ref)";-;-;-;2690673;2569026;2549172;2793142;2444389;2275442;1612675;16934519
"093 Poliomielite(1º ref)";-;-;-;2707226;2506913;2452459;2212417;2322737;2052164;1341320;15595236
"021 Tríplice Viral  D1";2878184;2948879;2865668;3131123;3276483;2787903;2839666;2703996;2622897;1672026;27726825
"098 Tríplice Viral  D2";-;-;-;2006567;2697831;2319769;2283169;2275578;2183221;1414126;15180261
"097 Tetra Viral(SRC+VZ)";-;-;-;996287;2619821;2245170;2352531;1097158;926437;656702;10894106
"075 DTP";2822824;2868892;2701830;2851107;2773320;2811624;2664547;2500636;2492050;1457432;25944262
"102 DTP REF (4 e 6 anos)";-;-;-;165544;124519;141724;150122;157712;107262;53753;900636
"103 Dupla Adulto (dt)";-;-;-;-;-;-;-;5689961;6132388;4171330;15993679
"095 Tríplice Bacteriana(DTP)(1º ref)";-;-;-;2650263;2508464;2489336;1913131;2211157;1926224;1131487;14830062
"094 Dupla adulto e tríplice acelular gestante";-;-;-;1477999;1263527;1322415;938567;1028778;1342030;877068;8250384
"003 dTpa gestante";-;-;-;81614;271435;1304918;1006439;1260726;1799803;1197981;6922916
"Total";19498558;23970982;24116202;43114789;48547590;49652705;46856365;50722489;50787766;31982322;389249768
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

