 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Região/Unidade da Federação e Ano
Período:2010-2019
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";7351471;4682365;4638321;4911878;6079213;5908687;5277111;5285639;5199754;3474468;52808907
".. Rondônia";647582;435345;427785;487788;664623;692060;619782;580329;554429;344707;5454430
".. Acre";375827;257132;240469;240916;254867;294119;259444;265563;266548;183891;2638776
".. Amazonas";1658753;1090240;1149204;1173912;1546920;1721877;1404249;1412102;1435823;996366;13589446
".. Roraima";216961;146403;134478;137917;223255;261569;223781;223177;237162;146819;1951522
".. Pará";3535221;2159285;2120596;2217128;2577588;2121121;1986047;2067185;1994916;1299432;22078519
".. Amapá";318085;200416;201291;235158;291264;317476;309878;240586;241570;165800;2521524
".. Tocantins";599042;393544;364498;419059;520696;500465;473930;496697;469306;337453;4574690
"Região Nordeste";22170262;13163856;12588884;14087874;18203438;17877921;14253705;13964920;14043460;8669018;149023338
".. Maranhão";3420909;1938353;1834049;2049197;2506954;2470155;1768910;1804725;1808791;1123803;20725846
".. Piauí";1274272;790815;767241;830563;929808;843986;766717;794144;813143;520133;8330822
".. Ceará";3358407;1973183;1875068;2162076;3097412;3090798;2772563;2527779;2596746;1559778;25013810
".. Rio Grande do Norte";1176268;715550;700617;739553;976055;955413;715152;651844;773048;427102;7830602
".. Paraíba";1547527;894610;815971;963126;1185760;1091866;933768;946139;974210;608801;9961778
".. Pernambuco";3579686;2264640;2122509;2334099;3098012;3270650;2643965;2454143;2410864;1536040;25714608
".. Alagoas";1310661;736926;747338;840673;1124168;1114133;871125;905807;926598;584861;9162290
".. Sergipe";851030;530191;503959;600576;733179;714208;550085;562373;574293;375131;5995025
".. Bahia";5651502;3319588;3222132;3568011;4552090;4326712;3231420;3317966;3165767;1933369;36288557
"Região Sudeste";28802437;17575425;16638377;19417332;25678107;25876716;21095974;21658719;21509160;12849521;211101768
".. Minas Gerais";7414886;4334695;3998586;4784266;5908170;5849587;5192087;5320343;5380265;3396051;51578936
".. Espírito Santo";1318686;818355;783980;882253;1221179;1220295;1018857;980208;1042704;697564;9984081
".. Rio de Janeiro";5397199;3271147;3034612;3452853;4792974;4947569;4269415;4170602;3678944;1506798;38522113
".. São Paulo";14671666;9151228;8821199;10297960;13755784;13859265;10615615;11187566;11407247;7249108;111016638
"Região Sul";9480855;5710715;5469356;6522692;8421804;8300237;7369548;7497722;7752142;5492656;72017727
".. Paraná";3911435;2415754;2330836;2728430;3393790;3425656;2978313;3121299;3143311;2226662;29675486
".. Santa Catarina";2158029;1322747;1277068;1467668;2047870;2066422;1789983;1742437;1933449;1436410;17242083
".. Rio Grande do Sul";3411391;1972214;1861452;2326594;2980144;2808159;2601252;2633986;2675382;1829584;25100158
"Região Centro-Oeste";5397196;3508110;3385244;4170804;5459762;5061483;5194786;4725232;4606442;2976294;44485353
".. Mato Grosso do Sul";993508;647692;639969;792827;1186794;1097563;937525;888047;900946;569408;8654279
".. Mato Grosso";1151191;762483;754284;882673;1204418;1218562;1117107;1074008;1053524;657632;9875882
".. Goiás";2274623;1515006;1375687;1637161;2068419;2012864;1808414;1852394;1764350;1139751;17448669
".. Distrito Federal";977874;582929;615304;858143;1000131;732494;1331740;910783;887622;609503;8506523
"Total";73202221;44640471;42720182;49110580;63842324;63025044;53191124;53132232;53110958;33461957;529437093
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

