 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Imuno
Imuno: 073 Hepatite B
Período:2019
"Unidade da Federação";"073 Hepatite B";"Total"
"11 Rondônia";58,82;58,82
"12 Acre";51,17;51,17
"13 Amazonas";57,64;57,64
"14 Roraima";52,28;52,28
"15 Pará";41,42;41,42
"16 Amapá";47,09;47,09
"17 Tocantins";59,87;59,87
"21 Maranhão";46,35;46,35
"22 Piauí";59,51;59,51
"23 Ceará";64,16;64,16
"24 Rio Grande do Norte";45,56;45,56
"25 Paraíba";55,91;55,91
"26 Pernambuco";56,95;56,95
"27 Alagoas";62,38;62,38
"28 Sergipe";59,40;59,40
"29 Bahia";47,40;47,40
"31 Minas Gerais";65,15;65,15
"32 Espírito Santo";51,65;51,65
"33 Rio de Janeiro";33,90;33,90
"35 São Paulo";59,56;59,56
"41 Paraná";72,75;72,75
"42 Santa Catarina";64,82;64,82
"43 Rio Grande do Sul";60,50;60,50
"50 Mato Grosso do Sul";60,47;60,47
"51 Mato Grosso";55,76;55,76
"52 Goiás";52,83;52,83
"53 Distrito Federal";54,28;54,28
"Total";55,93;55,93
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

