MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Região/UF de notificação e Ano 1º Sintoma(s)
Período:2010-2019
"Região/UF de notificação";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;1;-;-;-;16;701;730;723;770;739;847;793;890;842;740;7803
".. Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;61;76;89;99;56;78;59;69;66;44;699
".. Acre";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;29;17;18;14;16;14;18;28;34;29;219
".. Amazonas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;134;141;150;203;194;186;162;205;149;146;1674
".. Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;25;15;18;11;16;25;21;23;8;22;185
".. Pará";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;1;1;-;-;-;7;358;397;359;353;362;474;451;502;510;432;4215
".. Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;18;13;15;15;13;5;12;17;11;151
".. Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;62;66;76;75;80;57;77;51;58;56;660
"Região Nordeste";14;-;-;1;-;-;1;1;2;1;-;-;-;1;-;1;-;1;1;-;-;1;2;1;-;1;3;-;2;2;5;2;4;1;106;4025;4274;4578;3675;2868;2569;2113;2343;2301;2378;31278
".. Maranhão";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;139;132;176;128;93;113;103;107;112;112;1222
".. Piauí";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;26;526;420;399;329;269;232;197;191;195;168;2958
".. Ceará";1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;14;308;462;437;460;346;274;281;383;428;524;3923
".. Rio Grande do Norte";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;111;188;95;109;126;165;78;108;116;123;1222
".. Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;64;153;94;87;66;50;40;53;39;35;684
".. Pernambuco";3;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;2;-;-;-;3;-;4;1;16;1019;1329;1646;1315;1020;919;782;868;822;909;10663
".. Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;148;134;137;219;130;105;85;83;121;119;1282
".. Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;74;63;79;41;37;34;29;41;25;42;466
".. Bahia";5;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;1;1;1;-;-;39;1636;1393;1515;987;781;677;518;509;443;346;8858
"Região Sudeste";22;-;-;2;2;1;-;2;3;-;2;1;1;-;2;1;-;-;-;-;-;1;1;1;1;-;7;2;1;3;-;5;10;12;246;11022;10955;12184;10355;9986;8232;8828;8954;10062;8202;99109
".. Minas Gerais";1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;1;1;1;42;1163;1252;1301;1070;1051;1001;906;1091;1023;984;10892
".. Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;254;242;286;190;180;170;163;290;149;155;2083
".. Rio de Janeiro";2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;1;36;1283;1309;1474;1121;1208;985;1036;1125;1086;983;11654
".. São Paulo";19;-;-;2;2;1;-;2;2;-;1;1;1;-;1;1;-;-;-;-;-;1;1;1;-;-;4;2;-;2;-;4;8;10;165;8322;8152;9123;7974;7547;6076;6723;6448;7804;6080;74480
"Região Sul";14;1;-;-;-;1;1;-;-;-;-;-;2;1;-;-;1;-;1;-;-;-;-;1;-;1;2;1;-;2;1;2;1;4;90;3779;3850;3283;3556;3300;3623;3125;4080;3739;3708;36170
".. Paraná";3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;23;1346;1607;1367;1654;1352;1545;1289;1694;1680;1785;15350
".. Santa Catarina";2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;3;25;838;797;674;744;789;793;713;1020;884;957;8243
".. Rio Grande do Sul";9;1;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;1;-;-;1;1;-;1;-;1;-;1;42;1595;1446;1242;1158;1159;1285;1123;1366;1175;966;12577
"Região Centro-Oeste";4;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;2;-;1;13;1009;992;1039;912;810;816;806;750;620;650;8430
".. Mato Grosso do Sul";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;178;216;138;193;129;176;221;191;129;140;1717
".. Mato Grosso";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;175;216;244;250;224;168;187;205;158;143;1975
".. Goiás";2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;3;414;375;486;310;275;310;262;216;206;205;3068
".. Distrito Federal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;242;185;171;159;182;162;136;138;127;162;1670
"Total";60;1;1;3;2;2;3;4;5;1;2;1;3;3;2;2;1;1;2;1;1;2;3;3;1;2;14;3;3;8;9;11;15;18;471;20536;20801;21807;19268;17703;16087;15665;17017;17564;15678;182790
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2007 atualizados em 02/07/2012.
  Dados de 2008 atualizados em 02/07/2012.
  Dados de 2009 atualizados em 06/09/2020.
  Dados de 2010 atualizados em 04/11/2013.
  Dados de 2011 atualizados em 29/08/2014.
  Dados de 2012 atualizados em 01/06/2015.
  Dados de 2013 atualizados em 18/12/2017.
  Dados de 2014 atualizados em 17/12/2018.
  Dados de 2015 atualizados em 26/11/2018.
  Dados de 2016 a 2021 atualizados em 07/04/2021, dados sujeitos à revisão.
  Dados de 2020 do Espírito Santo não estão disponíveis neste sistema pois são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020.
		*Dados disponibilizados no TABNET em maio/2021.
 
