TÉTANO ACIDENTAL - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Região/UF de notificação e Ano 1º Sintoma(s)
Período:2010-2019
"Região/UF de notificação";"<1975";"2006";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"Região Norte";1;-;29;44;42;37;40;44;33;34;26;23;353
".. Rondônia";-;-;3;5;7;4;5;4;1;7;7;6;49
".. Acre";-;-;3;5;7;4;-;4;3;1;3;-;30
".. Amazonas";-;-;5;14;7;8;8;11;8;3;2;3;69
".. Roraima";-;-;1;1;1;1;-;-;-;-;-;-;4
".. Pará";1;-;13;15;20;17;24;22;20;20;12;14;178
".. Amapá";-;-;2;2;-;2;2;3;1;3;-;-;15
".. Tocantins";-;-;2;2;-;1;1;-;-;-;2;-;8
"Região Nordeste";-;-;109;133;108;62;95;86;81;62;60;83;879
".. Maranhão";-;-;12;15;14;10;12;16;10;10;17;13;129
".. Piauí";-;-;13;7;8;6;5;6;5;4;2;7;63
".. Ceará";-;-;16;27;21;8;18;17;20;13;9;13;162
".. Rio Grande do Norte";-;-;9;8;6;8;8;6;4;2;2;3;56
".. Paraíba";-;-;4;10;12;7;8;2;7;4;5;7;66
".. Pernambuco";-;-;17;14;18;7;16;8;4;8;9;13;114
".. Alagoas";-;-;7;9;3;2;9;5;7;2;4;-;48
".. Sergipe";-;-;10;7;8;2;1;2;6;7;4;4;51
".. Bahia";-;-;21;36;18;12;18;24;18;12;8;23;190
"Região Sudeste";-;1;59;72;70;65;63;68;50;60;46;48;602
".. Minas Gerais";-;-;22;24;35;27;28;29;29;30;22;23;269
".. Espírito Santo";-;-;8;10;4;2;4;3;1;2;3;5;42
".. Rio de Janeiro";-;-;6;10;10;10;13;12;6;8;7;13;95
".. São Paulo";-;1;23;28;21;26;18;24;14;20;14;7;196
"Região Sul";-;-;66;54;55;58;45;56;51;56;49;47;537
".. Paraná";-;-;22;18;12;22;12;20;12;24;17;18;177
".. Santa Catarina";-;-;13;15;14;16;10;13;12;11;14;13;131
".. Rio Grande do Sul";-;-;31;21;29;20;23;23;27;21;18;16;229
"Região Centro-Oeste";-;-;25;32;43;61;27;32;23;22;12;20;297
".. Mato Grosso do Sul";-;-;5;1;4;1;6;7;2;1;2;5;34
".. Mato Grosso";-;-;11;20;26;51;9;15;10;14;9;7;172
".. Goiás";-;-;9;6;8;9;10;8;11;4;1;7;73
".. Distrito Federal";-;-;-;5;5;-;2;2;-;3;-;1;18
"Total";1;1;288;335;318;283;270;286;238;234;193;221;2668
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2008 atualizados em 27/03/2010.
  Dados de 2009 atualizados em 01/08/2011.
  Dados de 2010 atualizados em 19/12/2012.
  Dados de 2011 atualizados em 30/01/2014.
  Dados de 2012 atualizados em 22/06/2015.
  Dados de 2013 a 2016 atualizados em 01/02/2018.
  Dados de 2017 atualizados em 11/01/2019.
  Dados de 2018 atualizados em 28/01/2020.
  Dados de 2019 atualizados em 05/03/2021.
  Dados de 2020 atualizados em 05/03/2021, dados sujeitos à revisão.
  Dados de 2021 atualizados em 05/03/2021, dados sujeitos à revisão.
 *Dados disponibilizados no TABNET em abril/2021.
 
